2024/09/18,#genre#
凤凰卫视资讯台,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰卫视中文台,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰卫视香港台,http://58.144.154.93:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰卫视资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰卫视中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰卫视香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
████████████████
📺酒店源,#genre#
████████████████
01湖南酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
来自湖南电信(175.8.212.107:8081)的酒店源共有55个频道：
CCTV1,http://175.8.212.107:8081/tsfile/live/0001_1.m3u8
CCTV2,http://175.8.212.107:8081/tsfile/live/0002_1.m3u8
CCTV3,http://175.8.212.107:8081/tsfile/live/0003_1.m3u8
CCTV4,http://175.8.212.107:8081/tsfile/live/0004_1.m3u8
CCTV5,http://175.8.212.107:8081/tsfile/live/0005_1.m3u8
CCTV6,http://175.8.212.107:8081/tsfile/live/0006_1.m3u8
CCTV7,http://175.8.212.107:8081/tsfile/live/0007_1.m3u8
CCTV8,http://175.8.212.107:8081/tsfile/live/0008_1.m3u8
CCTV9,http://175.8.212.107:8081/tsfile/live/0009_1.m3u8
CCTV10,http://175.8.212.107:8081/tsfile/live/0010_1.m3u8
CCTV11,http://175.8.212.107:8081/tsfile/live/0011_1.m3u8
CCTV12,http://175.8.212.107:8081/tsfile/live/0012_1.m3u8
CCTV13,http://175.8.212.107:8081/tsfile/live/0013_1.m3u8
CCTV14,http://175.8.212.107:8081/tsfile/live/0014_1.m3u8
CCTV15,http://175.8.212.107:8081/tsfile/live/0015_1.m3u8
CGTN纪录,http://175.8.212.107:8081/tsfile/live/0016_1.m3u8
湖南卫视高清,http://175.8.212.107:8081/tsfile/live/0017_1.m3u8
湖南都市高清,http://175.8.212.107:8081/tsfile/live/0018_1.m3u8
湖南电影高清,http://175.8.212.107:8081/tsfile/live/0019_1.m3u8
来自湖南电信(175.8.212.107:8081)的酒店源共有55个频道：
湖南娱乐高清,http://175.8.212.107:8081/tsfile/live/1000_1.m3u8
湖南国际高清,http://175.8.212.107:8081/tsfile/live/1001_1.m3u8
湖南金鹰卡通高清,http://175.8.212.107:8081/tsfile/live/1002_1.m3u8
江苏卫视,http://175.8.212.107:8081/tsfile/live/0127_1.m3u8
浙江卫视,http://175.8.212.107:8081/tsfile/live/0124_1.m3u8
安徽卫视,http://175.8.212.107:8081/tsfile/live/0130_1.m3u8
北京卫视,http://175.8.212.107:8081/tsfile/live/0122_1.m3u8
天津卫视,http://175.8.212.107:8081/tsfile/live/0135_1.m3u8
东方卫视,http://175.8.212.107:8081/tsfile/live/0107_1.m3u8
江西卫视,http://175.8.212.107:8081/tsfile/live/0138_1.m3u8
深圳卫视,http://175.8.212.107:8081/tsfile/live/0126_1.m3u8
辽宁卫视,http://175.8.212.107:8081/tsfile/live/0121_1.m3u8
东南卫视,http://175.8.212.107:8081/tsfile/live/0137_1.m3u8
海南卫视,http://175.8.212.107:8081/tsfile/live/1003_1.m3u8
广东卫视,http://175.8.212.107:8081/tsfile/live/0125_1.m3u8
湖北卫视,http://175.8.212.107:8081/tsfile/live/0132_1.m3u8
广西卫视,http://175.8.212.107:8081/tsfile/live/0113_1.m3u8
山东卫视,http://175.8.212.107:8081/tsfile/live/0131_1.m3u8
四川卫视,http://175.8.212.107:8081/tsfile/live/0123_1.m3u8
来自湖南电信(175.8.212.107:8081)的酒店源共有55个频道：
重庆卫视,http://175.8.212.107:8081/tsfile/live/0142_1.m3u8
云南卫视,http://175.8.212.107:8081/tsfile/live/0119_1.m3u8
河南卫视,http://175.8.212.107:8081/tsfile/live/0139_1.m3u8
黑龙江卫视,http://175.8.212.107:8081/tsfile/live/0143_1.m3u8
贵州卫视,http://175.8.212.107:8081/tsfile/live/0120_1.m3u8
河北卫视,http://175.8.212.107:8081/tsfile/live/0117_1.m3u8
吉林卫视,http://175.8.212.107:8081/tsfile/live/0116_1.m3u8
陕西卫视,http://175.8.212.107:8081/tsfile/live/0136_1.m3u8
山西卫视,http://175.8.212.107:8081/tsfile/live/0118_1.m3u8
内蒙古卫视,http://175.8.212.107:8081/tsfile/live/0109_1.m3u8
宁夏卫视,http://175.8.212.107:8081/tsfile/live/0112_1.m3u8
西藏卫视,http://175.8.212.107:8081/tsfile/live/0111_1.m3u8
新疆卫视,http://175.8.212.107:8081/tsfile/live/0110_1.m3u8
南方卫视,http://175.8.212.107:8081/tsfile/live/1004_1.m3u8
卡酷动画,http://175.8.212.107:8081/tsfile/live/1005_1.m3u8
优漫卡通,http://175.8.212.107:8081/tsfile/live/1006_1.m3u8
